Age,Quarterly_Rate
72.0,0.009124087591240877
72.25,0.009124087591240877
72.5,0.009124087591240877
72.75,0.009124087591240877
73.0,0.009433962264150943
73.25,0.009433962264150943
73.5,0.009433962264150943
73.75,0.009433962264150943
74.0,0.00980392156862745
74.25,0.00980392156862745
74.5,0.00980392156862745
74.75,0.00980392156862745
75.0,0.01016260162601626
75.25,0.01016260162601626
75.5,0.01016260162601626
75.75,0.01016260162601626
76.0,0.010548523206751054
76.25,0.010548523206751054
76.5,0.010548523206751054
76.75,0.010548523206751054
77.0,0.01091703056768559
77.25,0.01091703056768559
77.5,0.01091703056768559
77.75,0.01091703056768559
78.0,0.011363636363636364
78.25,0.011363636363636364
78.5,0.011363636363636364
78.75,0.011363636363636364
79.0,0.011848341232227487
79.25,0.011848341232227487
79.5,0.011848341232227487
79.75,0.011848341232227487
80.0,0.012376237623762377
80.25,0.012376237623762377
80.5,0.012376237623762377
80.75,0.012376237623762377
81.0,0.012886597938144331
81.25,0.012886597938144331
81.5,0.012886597938144331
81.75,0.012886597938144331
82.0,0.013513513513513514
82.25,0.013513513513513514
82.5,0.013513513513513514
82.75,0.013513513513513514
83.0,0.014124293785310734
83.25,0.014124293785310734
83.5,0.014124293785310734
83.75,0.014124293785310734
84.0,0.01488095238095238
84.25,0.01488095238095238
84.5,0.01488095238095238
84.75,0.01488095238095238
85.0,0.015625
85.25,0.015625
85.5,0.015625
85.75,0.015625
86.0,0.01644736842105263
86.25,0.01644736842105263
86.5,0.01644736842105263
86.75,0.01644736842105263
87.0,0.017361111111111112
87.25,0.017361111111111112
87.5,0.017361111111111112
87.75,0.017361111111111112
88.0,0.018248175182481754
88.25,0.018248175182481754
88.5,0.018248175182481754
88.75,0.018248175182481754
89.0,0.01937984496124031
89.25,0.01937984496124031
89.5,0.01937984496124031
89.75,0.01937984496124031
90.0,0.020491803278688527
90.25,0.020491803278688527
90.5,0.020491803278688527
90.75,0.020491803278688527
91.0,0.021739130434782608
91.25,0.021739130434782608
91.5,0.021739130434782608
91.75,0.021739130434782608
92.0,0.023148148148148147
92.25,0.023148148148148147
92.5,0.023148148148148147
92.75,0.023148148148148147
93.0,0.024752475247524754
93.25,0.024752475247524754
93.5,0.024752475247524754
93.75,0.024752475247524754
94.0,0.02631578947368421
94.25,0.02631578947368421
94.5,0.02631578947368421
94.75,0.02631578947368421
95.0,0.028089887640449437
95.25,0.028089887640449437
95.5,0.028089887640449437
95.75,0.028089887640449437
96.0,0.02976190476190476
96.25,0.02976190476190476
96.5,0.02976190476190476
96.75,0.02976190476190476
97.0,0.032051282051282055
97.25,0.032051282051282055
97.5,0.032051282051282055
97.75,0.032051282051282055
98.0,0.03424657534246575
98.25,0.03424657534246575
98.5,0.03424657534246575
98.75,0.03424657534246575
99.0,0.03676470588235294
99.25,0.03676470588235294
99.5,0.03676470588235294
99.75,0.03676470588235294
100.0,0.0390625
100.25,0.0390625
100.5,0.0390625
100.75,0.0390625
101.0,0.041666666666666664
101.25,0.041666666666666664
101.5,0.041666666666666664
101.75,0.041666666666666664
102.0,0.044642857142857144
102.25,0.044642857142857144
102.5,0.044642857142857144
102.75,0.044642857142857144
103.0,0.04807692307692307
103.25,0.04807692307692307
103.5,0.04807692307692307
103.75,0.04807692307692307
104.0,0.0510204081632653
104.25,0.0510204081632653
104.5,0.0510204081632653
104.75,0.0510204081632653
105.0,0.05434782608695653
105.25,0.05434782608695653
105.5,0.05434782608695653
105.75,0.05434782608695653
106.0,0.05813953488372093
106.25,0.05813953488372093
106.5,0.05813953488372093
106.75,0.05813953488372093
107.0,0.06097560975609757
107.25,0.06097560975609757
107.5,0.06097560975609757
107.75,0.06097560975609757
108.0,0.06410256410256411
108.25,0.06410256410256411
108.5,0.06410256410256411
108.75,0.06410256410256411
109.0,0.06756756756756756
109.25,0.06756756756756756
109.5,0.06756756756756756
109.75,0.06756756756756756
110.0,0.07142857142857142
110.25,0.07142857142857142
110.5,0.07142857142857142
110.75,0.07142857142857142
111.0,0.07352941176470588
111.25,0.07352941176470588
111.5,0.07352941176470588
111.75,0.07352941176470588
112.0,0.07575757575757576
112.25,0.07575757575757576
112.5,0.07575757575757576
112.75,0.07575757575757576
113.0,0.08064516129032258
113.25,0.08064516129032258
113.5,0.08064516129032258
113.75,0.08064516129032258
114.0,0.08333333333333333
114.25,0.08333333333333333
114.5,0.08333333333333333
114.75,0.08333333333333333
115.0,0.08620689655172414
115.25,0.08620689655172414
115.5,0.08620689655172414
115.75,0.08620689655172414
116.0,0.08928571428571429
116.25,0.08928571428571429
116.5,0.08928571428571429
116.75,0.08928571428571429
117.0,0.09259259259259259
117.25,0.09259259259259259
117.5,0.09259259259259259
117.75,0.09259259259259259
118.0,0.1
118.25,0.1
118.5,0.1
118.75,0.1
119.0,0.10869565217391305
