Quarter,Quarter_Rate,Inflation,Dividend,Bond-Total,Bond-Income
1978-1,-0.030183980085024296,6.599999999999999,0.013120318,-0.009677512,0.019949977
1978-2,-0.05713068245349033,6.966666666666666,0.013639276,-0.012487971,0.020905661
1978-3,0.0749490992769152,7.933333333333334,0.012687655,0.025397174,0.020959608
1978-4,0.08276372962111538,8.933333333333334,0.014036411,-0.014526393,0.021396738
1979-1,-0.060508894550666374,9.766666666666667,0.01350776,0.018392221,0.021983682
1979-2,0.04310966633132457,10.766666666666666,0.014156061,0.046179457,0.022594959
1979-3,0.010802738566966839,11.766666666666666,0.013649093,-0.024043678,0.021840924
1979-4,0.06441807856099697,12.666666666666666,0.01416634,-0.050148456,0.024939494
1980-1,-0.025792147064594605,14.300000000000002,0.013466679,-0.145107763,0.02686024
1980-2,-0.03385024355846034,14.5,0.014732216,0.243647898,0.027524179
1980-3,0.12477979997964599,12.866666666666667,0.013131737,-0.112554321,0.026438956
1980-4,0.10615154368613336,12.633333333333333,0.01213165,0.018033359,0.029925984
1981-1,0.07244552256312614,11.233333333333334,0.012004005,-0.018242927,0.029588821
1981-2,0.0016870396985935814,9.799999999999999,0.012534305,-0.010836886,0.031694913
1981-3,-0.049791335484185247,10.866666666666667,0.013240387,-0.085957371,0.033639214
1981-4,-0.09778841044624402,9.533333333333333,0.013993229,0.147507844,0.033453479
1982-1,0.048342978682919424,7.6000000000000005,0.014151802,0.046481251,0.033814856
1982-2,-0.07291834042702108,6.766666666666666,0.015718873,0.017677488,0.03372937
1982-3,-0.04464365752862465,5.766666666666667,0.015459206,0.202120941,0.032862983
1982-4,0.12197591985928395,4.5,0.013167975,0.096371491,0.028068564
1983-1,0.13421328977086922,3.6,0.011872266,0.007198558,0.025983697
1983-2,0.10611542809871777,3.3333333333333335,0.0112538,-0.00108705,0.026827281
1983-3,0.10207812495793163,2.6666666666666665,0.011318251,0.001366125,0.028953438
1983-4,-0.016781320216420734,3.3333333333333335,0.01050833,-0.000953477,0.028597346
1984-1,-0.010674894750151934,4.533333333333334,0.011171132,-0.009612325,0.029533762
1984-2,-0.036942195846249366,4.333333333333333,0.012320737,-0.047566022,0.031578669
1984-3,-0.030256987647605222,4.266666666666667,0.011929582,0.135384398,0.031979759
1984-4,0.07454307047279837,4.1,0.011846876,0.078232016,0.030024891
1985-1,0.004555947164657003,3.5666666666666664,0.011017896,0.015551241,0.027489574
1985-2,0.09614808988780633,3.766666666666667,0.010953442,0.131794641,0.028210934
1985-3,0.06156555491964409,3.3333333333333335,0.010432967,0.005338939,0.026993099
1985-4,-0.03824759981134068,3.5,0.010445038,0.133389699,0.025847385
1986-1,0.1324903444279657,3.1,0.009503226,0.197299062,0.022448712
1986-2,0.12190468771499648,1.6333333333333335,0.008674856,-0.000336408,0.019602499
1986-3,0.07187205043953217,1.6666666666666667,0.008506895,-0.013351987,0.019476065
1986-4,-0.07316294109595087,1.3,0.008563505,0.054528128,0.019910371
1987-1,0.055008521014474294,2.1999999999999997,0.007965106,0.013512514,0.019114375
1987-2,0.1863664374246928,3.7999999999999994,0.007812255,-0.048100383,0.02071205
1987-3,0.03611737253655993,4.2,0.007048085,-0.069603607,0.022405261
1987-4,0.08051093924308267,4.466666666666667,0.008443819,0.083831481,0.023407255
1988-1,-0.2180979044371738,3.9333333333333336,0.008900986,0.039328058,0.021633148
1988-2,0.0005860510082581324,3.9333333333333336,0.009770802,0.00987662,0.022618265
1988-3,0.061267533545920023,4.1000000000000005,0.009171887,0.022814178,0.023198732
1988-4,-0.001471756193542396,4.266666666666667,0.009302717,0.021602714,0.022264123
1989-1,0.014481511552327896,4.833333333333333,0.008683506,0.014305739,0.022852532
1989-2,0.07656829492854623,5.233333333333333,0.009429671,0.114785523,0.022213185
1989-3,0.0770606134116301,4.666666666666667,0.008462569,-0.000768115,0.020093074
1989-4,0.09911343871806101,4.6,0.008429245,0.045387302,0.020147572
1990-1,0.025137536543336926,5.233333333333333,0.008286423,-0.040884734,0.02116443
1990-2,-0.05835577884262792,4.6000000000000005,0.009622377,0.044005377,0.021987054
1990-3,0.06152936399999928,5.533333333333332,0.008481492,-0.020310124,0.021518464
1990-4,-0.12404740791995388,6.233333333333333,0.010208363,0.082407595,0.02251766
1991-1,0.036546674529750814,5.3,0.008300636,0.019986023,0.019998679
1991-2,0.13738696250222257,4.866666666666667,0.008685123,0.00766971,0.020862023
1991-3,0.017829318212789307,3.8666666666666667,0.008222947,0.082193788,0.021318417
1991-4,0.029847582500294945,3.0,0.008019133,0.072557759,0.019539242
